Title,Price,Area,Category,Size,Bedrooms,Bathrooms
"GOOD CONDITION Sri Ampang Hilir Condominium, Kuala Lumpur 1042sqft",400000,AMPANG,Apartments,1042 sq.ft.,2 Bedrooms,2 Bathrooms
[Near LRT] Suria Jelatek Residence Jalan Jelatek Kitchen Cabinet,525000,AMPANG,Apartments,1089 sq.ft.,3 Bedrooms,2 Bathrooms
"[Freehold] D-Villa Residence, Ampang Hilir (Holiday Villa}",350000,AMPANG,Apartments,600 sq.ft.,1 Bedroom,1 Bathroom
Mid High floor good renovated Ampang Boulevard Near to Ampang park,408000,AMPANG,Apartments,993 sq.ft.,3 Bedrooms,2 Bathrooms
Tiara dula condo ampang jaya for sales,455000,AMPANG,Apartments,1008 sq.ft.,3 Bedrooms,2 Bathrooms
Freehold M Suite condominium in Jalan Ampang Kuala Lumpur,1300000,AMPANG,Apartments,1650 sq.ft.,4 Bedrooms,3 Bathrooms
Freehold M suite condominium off Jalan Ampang Kuala Lumpur,1300000,AMPANG,Apartments,1650 sq.ft.,4 Bedrooms,3 Bathrooms
For sale : sri ampang hilir condominium,400000,AMPANG,Apartments,1042 sq.ft.,3 Bedrooms,2 Bathrooms
"Axis Crown Condominium, Jalan Cempaka, Pandan Indah Ampang, KL",395000,AMPANG,Apartments,890 sq.ft.,2 Bedrooms,2 Bathrooms
Sri ampang hilir condominium,400000,AMPANG,Apartments,1042 sq.ft.,3 Bedrooms,2 Bathrooms
"KOJAYA CONDOMINIUM , AMPANG , (5 mins to KPJ Ampang Puteri)",370000,AMPANG,Apartments,932 sq.ft.,4 Bedrooms,3 Bathrooms
"【199K 1R1B Tepi University & LRT】Below Market 30%, Return Tinggi",220000,AMPANG,Apartments,478 sq.ft.,2 Bedrooms,2 Bathrooms
Penthouse Menara Mutiara TAR Ampang,850000,AMPANG,Apartments,2699 sq.ft.,4 Bedrooms,3 Bathrooms
Cheapest Suria Jelatek Residence Ampang Hilir Close to LRT Station,480000,AMPANG,Apartments,1089 sq.ft.,3 Bedrooms,2 Bathrooms
Ampang Putra Residency for sale,560000,AMPANG,Apartments,1234 sq.ft.,3 Bedrooms,2 Bathrooms
"( Must View) Best Price, Residensi Chymes Gurney, Dato Keramat",499000,AMPANG,Apartments,995 sq.ft.,2 Bedrooms,2 Bathrooms
"Suria Jelatek Condo , Below Market , Grab It Now , Ampang Hilir KL",418000,AMPANG,Apartments,860 sq.ft.,3 Bedrooms,2 Bathrooms
"Menara impian condominium, taman tar ampang for sale !!!!",495000,AMPANG,Apartments,1060 sq.ft.,3 Bedrooms,2 Bathrooms
"Sri Penara Apartment Taman Tasik Permaisuri, Kuala Lumpur",250000,AMPANG,Apartments,650 sq.ft.,3 Bedrooms,2 Bathrooms
Ampang Suria Jelatek Residence - 1420sf - Near LRT - Limited unit,600000,AMPANG,Apartments,1420 sq.ft.,3 Bedrooms,2 Bathrooms
"Impiana Condo Ampang, Duplex Reno Penthouse Low density",1908888,AMPANG,Apartments,3530 sq.ft.,5 Bedrooms,5 Bathrooms
"NOVO Ampang, Ampang Hilir KLCC",810000,AMPANG,Apartments,686 sq.ft.,1 Bedroom,1 Bathroom
Amaya Maluri Service Apartment Taman Maluri,445500,AMPANG,Apartments,1044 sq.ft.,3 Bedrooms,2 Bathrooms
(BEST UNIT) Tiara Duta Condominium / Duplex / Ampang,575000,AMPANG,Apartments,1600 sq.ft.,3 Bedrooms,2 Bathrooms
[low floor] apartment bistaria untuk dijual!!,265000,AMPANG,Apartments,850 sq.ft.,2 Bedrooms,2 Bathrooms
"Ampang saujana jalan mulia 2/1, tingkat 4",140000,AMPANG,Apartments,650 sq.ft.,3 Bedrooms,2 Bathrooms
SRI AMPANG HILIR CONDOMINIUM,400000,AMPANG,Apartments,1042 sq.ft.,3 Bedrooms,2 Bathrooms
1180 sq.ft. Hillside Apartment Taman Melawati Ampang,399000,AMPANG,Apartments,1180 sq.ft.,3 Bedrooms,2 Bathrooms
Pandan Indah commercial park,120000,AMPANG,Apartments,640 sq.ft.,2 Bedrooms,2 Bathrooms
